2020-03-08 11:22:06.644 [main] INFO  c.jtrace.zeus.jvm.parameters.ParametersApplication - Starting ParametersApplication on xule05deMacBook-Pro.local with PID 19093 (/Users/xule05/parameters/target/classes started by xule05 in /Users/xule05/parameters)
2020-03-08 11:22:06.647 [main] INFO  c.jtrace.zeus.jvm.parameters.ParametersApplication - No active profile set, falling back to default profiles: default
2020-03-08 11:22:07.841 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-03-08 11:22:07.852 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-03-08 11:22:07.853 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-03-08 11:22:07.853 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.30]
2020-03-08 11:22:07.950 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-03-08 11:22:07.950 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1253 ms
2020-03-08 11:22:08.322 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-03-08 11:22:08.384 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2020-03-08 11:22:08.442 [main] WARN  org.thymeleaf.templatemode.TemplateMode - [THYMELEAF][main] Template Mode 'HTML5' is deprecated. Using Template Mode 'HTML' instead.
2020-03-08 11:22:08.488 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2020-03-08 11:22:08.524 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-03-08 11:22:08.558 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-03-08 11:22:08.562 [main] INFO  c.jtrace.zeus.jvm.parameters.ParametersApplication - Started ParametersApplication in 2.339 seconds (JVM running for 3.234)
2020-03-08 11:27:53.943 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-03-08 11:27:53.944 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-03-08 11:27:53.950 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 6 ms
2020-03-08 11:27:54.031 [http-nio-8080-exec-1] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-03-08 11:28:52.474 [http-nio-8080-exec-7] INFO  c.j.z.j.p.controller.SearchJvmParametersController - parameterEntity:JvmParameterEntity(name=UseG1GC, versions=[@since 1.7+], examples=[-XX:-UseG1GC], type=-, os=-, meaning=Enables the use of the garbage-first (G1) garbage collector. It is a server-style garbage collector, targeted for multiprocessor machines with a large amount of RAM. It meets GC pause time goals with high probability, while maintaining good throughput. The G1 collector is recommended for applications requiring large heaps (sizes of around 6 GB or larger) with limited GC latency requirements (stable and predictable pause time below 0.5 seconds)., hanyi=开启或者关闭G1垃圾收集器, use=你可以通过-XX:+UseG1GC开启，或者-XX:-UseG1GC关闭, defaultValue=不开启, valueType=null, extend=当堆内存较大时(>=6G)推荐使用G1收集器, url=null)
2020-03-08 11:29:23.765 [http-nio-8080-exec-3] INFO  c.j.z.j.p.controller.SearchJvmParametersController - parameterEntity:JvmParameterEntity(name=UseGCOverheadLimit, versions=[all], examples=[-XX:+UseGCOverheadLimit], type=-, os=-, meaning=Enables the use of a policy that limits the proportion of time spent by the JVM on GC before an OutOfMemoryError exception is thrown. This option is enabled, by default and the parallel GC will throw an OutOfMemoryError if more than 98% of the total time is spent on garbage collection and less than 2% of the heap is recovered. When the heap is small, this feature can be used to prevent applications from running for long periods of time with little or no progress. To disable this option, specify -XX:-UseGCOverheadLimit., hanyi=限制GC的运行时间。如果GC耗时过长，就抛OOM, use=你可以通过-XX:+UseGCOverheadLimit开启，或者-XX:-UseGCOverheadLimit关闭, defaultValue=默认开启, valueType=null, extend=建议关闭, url=null)
2020-03-08 11:30:01.783 [http-nio-8080-exec-2] INFO  c.j.z.j.p.controller.SearchJvmParametersController - parameterEntity:JvmParameterEntity(name=UseConcMarkSweepGC, versions=[-], examples=[-XX:-UseConcMarkSweepGC], type=-, os=-, meaning=Use concurrent mark-sweep collection for the old generation, hanyi=允许对老年代使用CMS垃圾收集器, use=-, defaultValue=不开启, valueType=null, extend=Oracle建议在不能满足应用程序延迟需求时使用CMS垃圾收集器,当启用此选项时,会自动设置-XX:+UseParNewGC选项，不应该禁用(-XX:-UseParNewGC)。在并且jdk8中已经禁用了以下选项组合:-XX:+UseConcMarkSweepGC -XX:-UseParNewGC, url=null)
2020-03-08 11:35:30.908 [http-nio-8080-exec-9] INFO  c.j.z.j.p.controller.SearchJvmParametersController - parameterEntity:JvmParameterEntity(name=CMSExpAvgFactor, versions=[*], examples=[-XX:CMSExpAvgFactor=15], type=-, os=-, meaning=Sets the percentage of time (0 to 100) used to weight the current sample when computing exponential averages for the concurrent collection statistics. By default, the exponential averages factor is set to 25%., hanyi=使用CMS垃圾收集器时启用类卸载。默认情况下，此选项处于启用状态。要禁用CMS垃圾收集器的类卸载，请指定-XX:-CMSClassUnloadingEnabled。, use=-, defaultValue=25, valueType=null, extend=, url=null)
2020-03-08 11:41:47.100 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
2020-03-08 11:41:47.102 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-03-08 11:41:47.109 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-03-08 11:41:51.025 [main] INFO  c.jtrace.zeus.jvm.parameters.ParametersApplication - Starting ParametersApplication on xule05deMacBook-Pro.local with PID 20283 (/Users/xule05/parameters/target/classes started by xule05 in /Users/xule05/parameters)
2020-03-08 11:41:51.029 [main] INFO  c.jtrace.zeus.jvm.parameters.ParametersApplication - No active profile set, falling back to default profiles: default
2020-03-08 11:41:51.995 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-03-08 11:41:52.002 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-03-08 11:41:52.003 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-03-08 11:41:52.003 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.30]
2020-03-08 11:41:52.067 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-03-08 11:41:52.067 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 988 ms
2020-03-08 11:41:52.420 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-03-08 11:41:52.501 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2020-03-08 11:41:52.562 [main] WARN  org.thymeleaf.templatemode.TemplateMode - [THYMELEAF][main] Template Mode 'HTML5' is deprecated. Using Template Mode 'HTML' instead.
2020-03-08 11:41:52.599 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2020-03-08 11:41:52.633 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-03-08 11:41:52.664 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-03-08 11:41:52.667 [main] INFO  c.jtrace.zeus.jvm.parameters.ParametersApplication - Started ParametersApplication in 2.058 seconds (JVM running for 2.848)
2020-03-08 11:42:02.149 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-03-08 11:42:02.149 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-03-08 11:42:02.154 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 5 ms
2020-03-08 11:46:20.021 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
2020-03-08 11:46:20.023 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-03-08 11:46:23.654 [main] INFO  c.jtrace.zeus.jvm.parameters.ParametersApplication - Starting ParametersApplication on xule05deMacBook-Pro.local with PID 20558 (/Users/xule05/parameters/target/classes started by xule05 in /Users/xule05/parameters)
2020-03-08 11:46:23.659 [main] INFO  c.jtrace.zeus.jvm.parameters.ParametersApplication - No active profile set, falling back to default profiles: default
2020-03-08 11:46:24.741 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-03-08 11:46:24.748 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-03-08 11:46:24.749 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-03-08 11:46:24.749 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.30]
2020-03-08 11:46:24.812 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-03-08 11:46:24.812 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1101 ms
2020-03-08 11:46:25.186 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-03-08 11:46:25.261 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2020-03-08 11:46:25.308 [main] WARN  org.thymeleaf.templatemode.TemplateMode - [THYMELEAF][main] Template Mode 'HTML5' is deprecated. Using Template Mode 'HTML' instead.
2020-03-08 11:46:25.343 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2020-03-08 11:46:25.377 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-03-08 11:46:25.409 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-03-08 11:46:25.413 [main] INFO  c.jtrace.zeus.jvm.parameters.ParametersApplication - Started ParametersApplication in 2.104 seconds (JVM running for 2.867)
2020-03-08 11:46:28.143 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-03-08 11:46:28.143 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-03-08 11:46:28.148 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 5 ms
2020-03-08 11:48:57.620 [http-nio-8080-exec-6] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-03-08 11:49:00.509 [http-nio-8080-exec-7] INFO  c.j.z.j.p.controller.SearchJvmParametersController - parameterEntity:JvmParameterEntity(name=DisableExplicitGC, versions=[all], examples=[-XX:-DisableExplicitGC], type=-, os=all, meaning=, hanyi=默认情况下，此选项处于开启状态，这意味着忽略来自System.gc()方法触发的GC。, use=, defaultValue=开启, valueType=null, extend=, url=http://zeus.yitrace.com:8080/articles/2020/02/16/1581833097466.html)
2020-03-08 11:49:08.316 [http-nio-8080-exec-1] INFO  c.j.z.j.p.controller.SearchJvmParametersController - parameterEntity:JvmParameterEntity(name=DisableExplicitGC, versions=[all], examples=[-XX:-DisableExplicitGC], type=-, os=all, meaning=, hanyi=默认情况下，此选项处于开启状态，这意味着忽略来自System.gc()方法触发的GC。, use=, defaultValue=开启, valueType=null, extend=, url=http://zeus.yitrace.com:8080/articles/2020/02/16/1581833097466.html)
2020-03-08 11:52:00.326 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
2020-03-08 11:52:00.328 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-03-08 11:52:00.335 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-03-08 11:52:04.222 [main] INFO  c.jtrace.zeus.jvm.parameters.ParametersApplication - Starting ParametersApplication on xule05deMacBook-Pro.local with PID 20905 (/Users/xule05/parameters/target/classes started by xule05 in /Users/xule05/parameters)
2020-03-08 11:52:04.225 [main] INFO  c.jtrace.zeus.jvm.parameters.ParametersApplication - No active profile set, falling back to default profiles: default
